game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
bundesliga-openfootball-dccd9912ddcf12f87f643389,BUNDESLIGA,2010-11,2010-08-20T12:00:00Z,Matchday 1,,Bayern München,,VfL Wolfsburg,,2,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-015d60370b624bb8f5cc470a,BUNDESLIGA,2010-11,2010-08-21T12:00:00Z,Matchday 1,,SC Freiburg,,FC St. Pauli,,1,3,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-280ccf2bdb07e7d9f152b61c,BUNDESLIGA,2010-11,2010-08-21T12:00:00Z,Matchday 1,,Hamburger SV,,FC Schalke 04,,2,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-552da2cea0035b450d1eef3f,BUNDESLIGA,2010-11,2010-08-21T12:00:00Z,Matchday 1,,1899 Hoffenheim,,Werder Bremen,,4,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-58b4ab6ce57ecb723c287190,BUNDESLIGA,2010-11,2010-08-21T12:00:00Z,Matchday 1,,1. FC Köln,,1. FC Kaiserslautern,,1,3,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-63c282646aa04003958de288,BUNDESLIGA,2010-11,2010-08-21T12:00:00Z,Matchday 1,,Hannover 96,,Eintracht Frankfurt,,2,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-f26e76da7d3df3d0ca31ef28,BUNDESLIGA,2010-11,2010-08-21T12:00:00Z,Matchday 1,,Bor. Mönchengladbach,,1. FC Nürnberg,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-a512d2695e88701b4eaf1669,BUNDESLIGA,2010-11,2010-08-22T12:00:00Z,Matchday 1,,Borussia Dortmund,,Bayer Leverkusen,,0,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-ca2cb87d4bb6e79887473851,BUNDESLIGA,2010-11,2010-08-22T12:00:00Z,Matchday 1,,1. FSV Mainz 05,,VfB Stuttgart,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-e83691cafec0ec5109f16d8d,BUNDESLIGA,2010-11,2010-08-27T12:00:00Z,Matchday 2,,1. FC Kaiserslautern,,Bayern München,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-0f5b2bd7e07cae243c2616a7,BUNDESLIGA,2010-11,2010-08-28T12:00:00Z,Matchday 2,,FC St. Pauli,,1899 Hoffenheim,,0,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-4b284cecf2485606d29da90e,BUNDESLIGA,2010-11,2010-08-28T12:00:00Z,Matchday 2,,FC Schalke 04,,Hannover 96,,1,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-546aba9b0253bb4b0b9fea7e,BUNDESLIGA,2010-11,2010-08-28T12:00:00Z,Matchday 2,,Eintracht Frankfurt,,Hamburger SV,,1,3,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-886fc96e9afe7fd33dd01afb,BUNDESLIGA,2010-11,2010-08-28T12:00:00Z,Matchday 2,,Werder Bremen,,1. FC Köln,,4,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-893cfd258e9af778be2140fe,BUNDESLIGA,2010-11,2010-08-28T12:00:00Z,Matchday 2,,VfL Wolfsburg,,1. FSV Mainz 05,,3,4,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-9cbf845eada9790662e03c03,BUNDESLIGA,2010-11,2010-08-28T12:00:00Z,Matchday 2,,1. FC Nürnberg,,SC Freiburg,,1,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-9c9d1a04a583251223376855,BUNDESLIGA,2010-11,2010-08-29T12:00:00Z,Matchday 2,,VfB Stuttgart,,Borussia Dortmund,,1,3,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-b09b13b02f0614ae5d46780b,BUNDESLIGA,2010-11,2010-08-29T12:00:00Z,Matchday 2,,Bayer Leverkusen,,Bor. Mönchengladbach,,3,6,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-44246fde18c9b8488bad4590,BUNDESLIGA,2010-11,2010-09-10T12:00:00Z,Matchday 3,,1899 Hoffenheim,,FC Schalke 04,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-1ef33c885347f327736b6671,BUNDESLIGA,2010-11,2010-09-11T12:00:00Z,Matchday 3,,SC Freiburg,,VfB Stuttgart,,2,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-57c91cd20b2a05adc9367413,BUNDESLIGA,2010-11,2010-09-11T12:00:00Z,Matchday 3,,Hamburger SV,,1. FC Nürnberg,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-adb5e4bc28db8b0301b74dc4,BUNDESLIGA,2010-11,2010-09-11T12:00:00Z,Matchday 3,,Bor. Mönchengladbach,,Eintracht Frankfurt,,0,4,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-b9a3915ac89ba1cefb0f6c1d,BUNDESLIGA,2010-11,2010-09-11T12:00:00Z,Matchday 3,,Hannover 96,,Bayer Leverkusen,,2,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-cadb58bf5265fb192cddbe9a,BUNDESLIGA,2010-11,2010-09-11T12:00:00Z,Matchday 3,,Borussia Dortmund,,VfL Wolfsburg,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-fd16c842b3ac3ea9690e63e8,BUNDESLIGA,2010-11,2010-09-11T12:00:00Z,Matchday 3,,Bayern München,,Werder Bremen,,0,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-9ff54762756174c6f550e65d,BUNDESLIGA,2010-11,2010-09-12T12:00:00Z,Matchday 3,,1. FC Köln,,FC St. Pauli,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-e2e9240ccf012d735aa5afa0,BUNDESLIGA,2010-11,2010-09-12T12:00:00Z,Matchday 3,,1. FSV Mainz 05,,1. FC Kaiserslautern,,2,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
bundesliga-openfootball-475c4d402b497713a2aebb6e,BUNDESLIGA,2010-11,2010-09-17T12:00:00Z,Matchday 4,,Eintracht Frankfurt,,SC Freiburg,,0,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
