game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
ligue1-openfootball-3b254eaf299dbcd026454e21,LIGUE1,2014-15,2014-08-08T12:00:00Z,Matchday 1,,Stade de Reims,,Paris Saint-Germain,,2,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-282260a307abfa56eb7c7118,LIGUE1,2014-15,2014-08-09T12:00:00Z,Matchday 1,,EA Guingamp,,AS Saint-Étienne,,0,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-2936917a260106234f017377,LIGUE1,2014-15,2014-08-09T12:00:00Z,Matchday 1,,Lille OSC,,FC Metz,,0,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-6fc9f36028e76ccae9448198,LIGUE1,2014-15,2014-08-09T12:00:00Z,Matchday 1,,FC Nantes,,RC Lens,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-8c673c99c7ff2dd1089e1f03,LIGUE1,2014-15,2014-08-09T12:00:00Z,Matchday 1,,SC Bastia,,Olympique Marseille,,3,3,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-9512b55b3a8c2ec231e92482,LIGUE1,2014-15,2014-08-09T12:00:00Z,Matchday 1,,Évian Thonon Gaillard,,SM Caen,,0,3,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-c819d4104b6b7cb534c6eda7,LIGUE1,2014-15,2014-08-09T12:00:00Z,Matchday 1,,OGC Nice,,Toulouse FC,,3,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-e4ff7b2c1cfebe0eeb82ebe6,LIGUE1,2014-15,2014-08-09T12:00:00Z,Matchday 1,,Montpellier HSC,,Girondins Bordeaux,,0,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-581463f8cd9172fa15ea819f,LIGUE1,2014-15,2014-08-10T12:00:00Z,Matchday 1,,AS Monaco,,FC Lorient,,1,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-f44ae0c68b80223054bed6f7,LIGUE1,2014-15,2014-08-10T12:00:00Z,Matchday 1,,Olympique Lyonnais,,Stade Rennais,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-11b6538300e316d623373172,LIGUE1,2014-15,2014-08-15T12:00:00Z,Matchday 2,,SM Caen,,Lille OSC,,0,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-2208c4e59180053990c2abfc,LIGUE1,2014-15,2014-08-16T12:00:00Z,Matchday 2,,FC Lorient,,OGC Nice,,0,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-36c471b71a2093e482d34f75,LIGUE1,2014-15,2014-08-16T12:00:00Z,Matchday 2,,Paris Saint-Germain,,SC Bastia,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-5c1c1697cf0ff0186c128d5a,LIGUE1,2014-15,2014-08-16T12:00:00Z,Matchday 2,,RC Lens,,EA Guingamp,,0,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-6abd5544f0ce44f59f3e52e6,LIGUE1,2014-15,2014-08-16T12:00:00Z,Matchday 2,,Stade Rennais,,Évian Thonon Gaillard,,6,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-9c3a8ccdefa7b50ca3c4dea1,LIGUE1,2014-15,2014-08-16T12:00:00Z,Matchday 2,,FC Metz,,FC Nantes,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-cde7f273babebd66c2654bb4,LIGUE1,2014-15,2014-08-16T12:00:00Z,Matchday 2,,Toulouse FC,,Olympique Lyonnais,,2,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-085bdded24b2b720f679803a,LIGUE1,2014-15,2014-08-17T12:00:00Z,Matchday 2,,Olympique Marseille,,Montpellier HSC,,0,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-4473b8f735050d5bac0ea2c0,LIGUE1,2014-15,2014-08-17T12:00:00Z,Matchday 2,,Girondins Bordeaux,,AS Monaco,,4,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-860215ec193d036a3240c099,LIGUE1,2014-15,2014-08-17T12:00:00Z,Matchday 2,,AS Saint-Étienne,,Stade de Reims,,3,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-87e584dbb8e22ca3c82d87b4,LIGUE1,2014-15,2014-08-22T12:00:00Z,Matchday 3,,Évian Thonon Gaillard,,Paris Saint-Germain,,0,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-0e142d02aebf3718bf3133df,LIGUE1,2014-15,2014-08-23T12:00:00Z,Matchday 3,,Montpellier HSC,,FC Metz,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-39c69e6a2ddbd7d950b2ec31,LIGUE1,2014-15,2014-08-23T12:00:00Z,Matchday 3,,Stade de Reims,,SM Caen,,0,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
ligue1-openfootball-5a0ee70e54c8ee708476cdb5,LIGUE1,2014-15,2014-08-23T12:00:00Z,Matchday 3,,Lille OSC,,FC Lorient,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
