game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
mlb-5057771,MLB,2026,2026-03-26T00:05:00Z,Regular,Oracle Park,San Francisco Giants,SF,New York Yankees,NYY,0,7,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057772,MLB,2026,2026-03-26T17:15:00Z,Regular,Citi Field,New York Mets,NYM,Pittsburgh Pirates,PIT,11,7,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057773,MLB,2026,2026-03-26T18:10:00Z,Regular,American Family Field,Milwaukee Brewers,MIL,Chicago White Sox,CHW,14,2,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057774,MLB,2026,2026-03-26T18:20:00Z,Regular,Wrigley Field,Chicago Cubs,CHC,Washington Nationals,WSH,4,10,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057775,MLB,2026,2026-03-26T19:05:00Z,Regular,Oriole Park at Camden Yards,Baltimore Orioles,BAL,Minnesota Twins,MIN,2,1,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057776,MLB,2026,2026-03-26T20:10:00Z,Regular,Great American Ball Park,Cincinnati Reds,CIN,Boston Red Sox,BOS,0,3,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057777,MLB,2026,2026-03-26T20:10:00Z,Regular,Daikin Park,Houston Astros,HOU,Los Angeles Angels,LAA,0,3,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057778,MLB,2026,2026-03-26T20:10:00Z,Regular,Petco Park,San Diego Padres,SD,Detroit Tigers,DET,2,8,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057779,MLB,2026,2026-03-26T20:15:00Z,Regular,Citizens Bank Park,Philadelphia Phillies,PHI,Texas Rangers,TEX,5,3,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057780,MLB,2026,2026-03-26T20:15:00Z,Regular,Busch Stadium,St. Louis Cardinals,STL,Tampa Bay Rays,TB,9,7,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057781,MLB,2026,2026-03-27T00:30:00Z,Regular,Dodger Stadium,Los Angeles Dodgers,LAD,Arizona Diamondbacks,ARI,8,2,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057782,MLB,2026,2026-03-27T02:10:00Z,Regular,T-Mobile Park,Seattle Mariners,SEA,Cleveland Guardians,CLE,4,6,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5057783,MLB,2026,2026-03-27T20:35:00Z,Regular,Oracle Park,San Francisco Giants,SF,New York Yankees,NYY,0,3,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
