game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
nba-18446819,NBA,2025-26,2025-10-21T23:30:00Z,Regular Season,,Oklahoma City Thunder,OKC,Houston Rockets,HOU,125,124,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446820,NBA,2025-26,2025-10-22T02:00:00Z,Regular Season,,Los Angeles Lakers,LAL,Golden State Warriors,GSW,109,119,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446821,NBA,2025-26,2025-10-22T23:00:00Z,Regular Season,,New York Knicks,NYK,Cleveland Cavaliers,CLE,119,111,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446823,NBA,2025-26,2025-10-22T23:00:00Z,Regular Season,,Charlotte Hornets,CHA,Brooklyn Nets,BKN,136,117,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446824,NBA,2025-26,2025-10-22T23:00:00Z,Regular Season,,Orlando Magic,ORL,Miami Heat,MIA,125,121,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446825,NBA,2025-26,2025-10-22T23:30:00Z,Regular Season,,Atlanta Hawks,ATL,Toronto Raptors,TOR,118,138,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446826,NBA,2025-26,2025-10-22T23:30:00Z,Regular Season,,Boston Celtics,BOS,Philadelphia 76ers,PHI,116,117,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446827,NBA,2025-26,2025-10-23T00:00:00Z,Regular Season,,Chicago Bulls,CHI,Detroit Pistons,DET,115,111,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446828,NBA,2025-26,2025-10-23T00:00:00Z,Regular Season,,Memphis Grizzlies,MEM,New Orleans Pelicans,NOP,128,122,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446829,NBA,2025-26,2025-10-23T00:00:00Z,Regular Season,,Milwaukee Bucks,MIL,Washington Wizards,WAS,133,120,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446830,NBA,2025-26,2025-10-23T01:00:00Z,Regular Season,,Utah Jazz,UTA,LA Clippers,LAC,129,108,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446822,NBA,2025-26,2025-10-23T01:30:00Z,Regular Season,,Dallas Mavericks,DAL,San Antonio Spurs,SAS,92,125,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446831,NBA,2025-26,2025-10-23T02:00:00Z,Regular Season,,Phoenix Suns,PHX,Sacramento Kings,SAC,120,116,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446832,NBA,2025-26,2025-10-23T02:00:00Z,Regular Season,,Portland Trail Blazers,POR,Minnesota Timberwolves,MIN,114,118,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446833,NBA,2025-26,2025-10-23T23:30:00Z,Regular Season,,Indiana Pacers,IND,Oklahoma City Thunder,OKC,135,141,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446834,NBA,2025-26,2025-10-24T02:00:00Z,Regular Season,,Golden State Warriors,GSW,Denver Nuggets,DEN,137,131,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446839,NBA,2025-26,2025-10-24T22:30:00Z,Regular Season,,Toronto Raptors,TOR,Milwaukee Bucks,MIL,116,122,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446837,NBA,2025-26,2025-10-24T23:00:00Z,Regular Season,,Orlando Magic,ORL,Atlanta Hawks,ATL,107,111,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446835,NBA,2025-26,2025-10-24T23:30:00Z,Regular Season,,New York Knicks,NYK,Boston Celtics,BOS,105,95,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446838,NBA,2025-26,2025-10-24T23:30:00Z,Regular Season,,Brooklyn Nets,BKN,Cleveland Cavaliers,CLE,124,131,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446840,NBA,2025-26,2025-10-25T00:00:00Z,Regular Season,,Houston Rockets,HOU,Detroit Pistons,DET,111,115,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446841,NBA,2025-26,2025-10-25T00:00:00Z,Regular Season,,Memphis Grizzlies,MEM,Miami Heat,MIA,114,146,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446842,NBA,2025-26,2025-10-25T00:00:00Z,Regular Season,,New Orleans Pelicans,NOP,San Antonio Spurs,SAS,116,120,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446843,NBA,2025-26,2025-10-25T00:30:00Z,Regular Season,,Dallas Mavericks,DAL,Washington Wizards,WAS,107,117,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446836,NBA,2025-26,2025-10-25T02:00:00Z,Regular Season,,Los Angeles Lakers,LAL,Minnesota Timberwolves,MIN,128,110,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446844,NBA,2025-26,2025-10-25T02:00:00Z,Regular Season,,Portland Trail Blazers,POR,Golden State Warriors,GSW,139,119,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446845,NBA,2025-26,2025-10-25T02:00:00Z,Regular Season,,Sacramento Kings,SAC,Utah Jazz,UTA,105,104,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446846,NBA,2025-26,2025-10-25T02:30:00Z,Regular Season,,LA Clippers,LAC,Phoenix Suns,PHX,129,102,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446847,NBA,2025-26,2025-10-25T23:00:00Z,Regular Season,,Orlando Magic,ORL,Chicago Bulls,CHI,98,110,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
