game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
ncaam-212784,NCAAM,2025-26,2025-11-03T13:00:00Z,Regular,Rock Hill Sports & Event Center,Winthrop,W,Queens University,QU,81,74,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209784,NCAAM,2025-26,2025-11-03T16:00:00Z,Regular,Rock Hill Sports & Event Center,St. Bonaventure,SB,Bradley,B,69,63,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-215243,NCAAM,2025-26,2025-11-03T16:30:00Z,Regular,The Field House,East Texas A&M,ETA,Arlington Baptist,AB,119,60,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-215244,NCAAM,2025-26,2025-11-03T17:00:00Z,Regular,Montagne Center,Lamar,L,Texas A&M-San Antonio,TASA,93,53,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212785,NCAAM,2025-26,2025-11-03T18:00:00Z,Regular,William Nicks Building,Prairie View A&M,PVA,College Of Biblical Studies,COBS,95,48,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212786,NCAAM,2025-26,2025-11-03T18:30:00Z,Regular,Sanford Pentagon,Murray State,MS,Omaha,O,85,77,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-215245,NCAAM,2025-26,2025-11-03T20:00:00Z,Regular,William R. Johnson Coliseum,Stephen F. Austin,SFA,Millsaps,M,103,76,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212787,NCAAM,2025-26,2025-11-03T21:00:00Z,Regular,J. Lawrence Walkup Skydome,Drake,D,Northern Arizona,NA,77,71,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212788,NCAAM,2025-26,2025-11-03T22:00:00Z,Regular,Merkert Gymnasium,Stonehill,S,Thomas (ME),T(,100,48,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212718,NCAAM,2025-26,2025-11-03T23:00:00Z,Regular,Daskalakis Athletic Center,Drexel,D,Widener,W,93,59,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212789,NCAAM,2025-26,2025-11-03T23:00:00Z,Regular,Cameron Hall,VMI,V,Johnson & Wales (NC),J&W(,122,58,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209770,NCAAM,2025-26,2025-11-03T23:30:00Z,Regular,Capital One Arena,Georgetown,G,Morgan State,MS,87,70,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212721,NCAAM,2025-26,2025-11-03T23:30:00Z,Regular,Stony Brook Arena,Stony Brook,SB,Farmingdale State,FS,66,59,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212759,NCAAM,2025-26,2025-11-03T23:30:00Z,Regular,Schottenstein Center,Ohio State,OS,IU Indianapolis,II,118,102,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212765,NCAAM,2025-26,2025-11-03T23:30:00Z,Regular,CFG Bank Arena,Maryland,M,Coppin State,CS,83,61,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212773,NCAAM,2025-26,2025-11-03T23:30:00Z,Regular,Carnesecca Arena,St. John's,SJ,Quinnipiac,Q,108,74,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212790,NCAAM,2025-26,2025-11-03T23:30:00Z,Regular,Gervin GameAbove Center,Eastern Michigan,EM,Georgia State,GS,71,49,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212791,NCAAM,2025-26,2025-11-03T23:30:00Z,Regular,Qubein Center,High Point,HP,Furman,F,97,71,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212799,NCAAM,2025-26,2025-11-03T23:30:00Z,Regular,Alumni Arena,Buffalo,B,Southern Miss,SM,85,79,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209754,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,JMA Wireless Dome,Syracuse,S,Binghamton,B,85,47,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209756,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Petersen Events Center,Pittsburgh,P,Youngstown State,YS,74,59,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209757,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Dean E. Smith Center,North Carolina,NC,Central Arkansas,CA,94,54,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209758,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Lenovo Center,NC State,NS,North Carolina Central,NCC,114,66,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209761,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Eleanor R. Baldwin Arena,Florida Atlantic,FA,Boston College,BC,83,78,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209763,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Thomas M. Ryan Center,Rhode Island,RI,Stetson,S,93,62,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209767,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,UPMC Cooper Fieldhouse,Duquesne,D,Niagara,N,83,63,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209768,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,UD Arena,Dayton,D,Canisius,C,88,48,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209771,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Littlejohn Coliseum,Clemson,C,New Hampshire,NH,88,38,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209772,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Gampel Pavilion,UConn,U,New Haven,NH,79,55,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209774,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,John Paul Jones Arena,Virginia,V,Rider,R,87,53,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209776,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Purcell Pavilion,Notre Dame,ND,Long Island University,LIU,89,67,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209781,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Sojka Pavilion,Bucknell,B,Delaware,D,78,70,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209785,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Cassell Coliseum,Virginia Tech,VT,Charleston Southern,CS,98,67,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-209786,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Detrick Gymnasium,Central Connecticut,CC,Vermont State - Johnson,VSJ,117,55,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212719,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,TD Arena,Charleston,C,Tusculum,T,79,58,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212722,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Breslin Center,Michigan State,MS,Colgate,C,80,69,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212729,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,T-Mobile Arena,Arizona,A,Florida,F,93,87,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212732,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Bud Walton Arena,Arkansas,A,Southern,S,109,77,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212733,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Costello Athletic Center,UMass Lowell,UL,Rivier,R,107,55,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212735,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,EagleBank Arena,George Mason,GM,Wofford,W,70,46,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212737,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,The Dedmon Center,Radford,R,Western Illinois,WI,80,75,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212748,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Trask Coliseum,UNC Wilmington,UW,Mount Olive,MO,106,77,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212750,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Food City Center,Tennessee,T,Mercer,M,76,61,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212752,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Savage Arena,Toledo,T,South Alabama,SA,74,76,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212754,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,McGuirk Arena,Central Michigan,CM,App State,AS,82,66,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212755,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Stroh Center,Bowling Green,BG,Texas State,TS,83,48,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212756,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Nutter Center,Wright State,WS,Franklin,F,86,37,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212758,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Truist Arena,Northern Kentucky,NK,Cincinnati Clermont,CC,126,69,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212763,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Bryce Jordan Center,Penn State,PS,Fairfield,F,76,68,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212766,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Siegel Center,VCU,V,Wagner,W,103,74,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212767,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Michael J. Hagan '85 Arena,Saint Joseph's,SJ,Lafayette,L,85,76,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212769,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Worthen Arena,Ball State,BS,Louisiana,L,75,64,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212771,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,MVP Arena,Siena,S,Bryant,B,82,66,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212772,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,James A. Rhodes Arena,Akron,A,James Madison,JM,85,71,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212781,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Fifth Third Arena,Cincinnati,C,Western Carolina,WC,94,63,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212792,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Kaplan Arena,William & Mary,W&M,Georgian Court,GC,110,63,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212793,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Mullins Center,Massachusetts,M,Marshall,M,72,78,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212794,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Joan Perry Brock Center,Longwood,L,Mary Baldwin,MB,92,55,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212795,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Ted Grant Court,Le Moyne,LM,SUNY Cobleskill,SC,94,50,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212796,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Patrick Gymnasium,Vermont,V,Western New England,WNE,75,68,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212801,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,Alico Arena,Florida Gulf Coast,FGC,New College (FL),NC(,96,60,FINISHED,ncaam,2026-08-23T20:56:09+00:00
ncaam-212802,NCAAM,2025-26,2025-11-04T00:00:00Z,Regular,M.A.C. Center,Kent State,KS,Troy,T,97,103,FINISHED,ncaam,2026-08-23T20:56:09+00:00
