game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
seriea-openfootball-3be39e0f2ce523ebbd5817a4,SERIEA,2018-19,2018-08-18T12:00:00Z,Matchday 1,,Lazio Roma,,SSC Napoli,,1,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
seriea-openfootball-49ed88a73096640a91bcc94b,SERIEA,2018-19,2018-08-18T12:00:00Z,Matchday 1,,Chievo Verona,,Juventus,,2,3,FINISHED,openfootball,2026-08-23T20:56:35+00:00
seriea-openfootball-0e8e6bfd6286896ef1c0ba54,SERIEA,2018-19,2018-08-19T12:00:00Z,Matchday 1,,Torino FC,,AS Roma,,0,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
seriea-openfootball-112956bf96bca8038e36d6c2,SERIEA,2018-19,2018-08-19T12:00:00Z,Matchday 1,,Parma Calcio 1913,,Udinese Calcio,,2,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
seriea-openfootball-949e93197f41cdbe5b01a2ff,SERIEA,2018-19,2018-08-19T12:00:00Z,Matchday 1,,Empoli FC,,Cagliari Calcio,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
seriea-openfootball-d19062326584794d887b1fc3,SERIEA,2018-19,2018-08-19T12:00:00Z,Matchday 1,,Bologna FC,,SPAL 2013 Ferrara,,0,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
seriea-openfootball-db34761ddcf38da2f2f05631,SERIEA,2018-19,2018-08-19T12:00:00Z,Matchday 1,,Sassuolo Calcio,,Inter,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
seriea-openfootball-86beef8e7bcfbde2dae5ea72,SERIEA,2018-19,2018-08-20T12:00:00Z,Matchday 1,,Atalanta,,Frosinone Calcio,,4,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
seriea-openfootball-229b99c61885662a054c76ef,SERIEA,2018-19,2018-08-25T12:00:00Z,Matchday 2,,SSC Napoli,,AC Milan,,3,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
seriea-openfootball-f9b30e75fce0e81c822ef5b0,SERIEA,2018-19,2018-08-25T12:00:00Z,Matchday 2,,Juventus,,Lazio Roma,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
