game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
ucl-551981,UCL,2025-26,2025-09-16T16:45:00Z,League Stage,,Athletic Club,ATH,Arsenal FC,ARS,0,2,FINISHED,,2026-08-23T20:49:44+00:00
ucl-552049,UCL,2025-26,2025-09-16T16:45:00Z,League Stage,,PSV,PSV,Royale Union Saint-Gilloise,USG,1,3,FINISHED,,2026-08-23T20:49:44+00:00
ucl-551927,UCL,2025-26,2025-09-16T19:00:00Z,League Stage,,Real Madrid CF,RMA,Olympique de Marseille,MAR,2,1,FINISHED,,2026-08-23T20:49:44+00:00
ucl-551941,UCL,2025-26,2025-09-16T19:00:00Z,League Stage,,Juventus FC,JUV,Borussia Dortmund,BVB,4,4,FINISHED,,2026-08-23T20:49:44+00:00
ucl-551991,UCL,2025-26,2025-09-16T19:00:00Z,League Stage,,Sport Lisboa e Benfica,BEN,Qarabağ Ağdam FK,QAR,2,3,FINISHED,,2026-08-23T20:49:44+00:00
ucl-552012,UCL,2025-26,2025-09-16T19:00:00Z,League Stage,,Tottenham Hotspur FC,TOT,Villarreal CF,VIL,1,0,FINISHED,,2026-08-23T20:49:44+00:00
ucl-552023,UCL,2025-26,2025-09-17T16:45:00Z,League Stage,,SK Slavia Praha,SLP,FK Bodø/Glimt,FK,2,2,FINISHED,,2026-08-23T20:49:44+00:00
ucl-552031,UCL,2025-26,2025-09-17T16:45:00Z,League Stage,,PAE Olympiakos SFP,OLY,Paphos FC,AEP,0,0,FINISHED,,2026-08-23T20:49:44+00:00
ucl-551908,UCL,2025-26,2025-09-17T19:00:00Z,League Stage,,FC Bayern München,FCB,Chelsea FC,CHE,3,1,FINISHED,,2026-08-23T20:49:44+00:00
ucl-551936,UCL,2025-26,2025-09-17T19:00:00Z,League Stage,,AFC Ajax,AJA,FC Internazionale Milano,INT,0,2,FINISHED,,2026-08-23T20:49:44+00:00
ucl-551946,UCL,2025-26,2025-09-17T19:00:00Z,League Stage,,Liverpool FC,LIV,Club Atlético de Madrid,ATL,3,2,FINISHED,,2026-08-23T20:49:44+00:00
ucl-551959,UCL,2025-26,2025-09-17T19:00:00Z,League Stage,,Paris Saint-Germain FC,PSG,Atalanta BC,ATA,4,0,FINISHED,,2026-08-23T20:49:44+00:00
